sr_no,year,country,region,artist,song,artist_gender,group_solo,place,points,home_away_country,home_away_region,is_final,semi_final_number,song_in_english,song_quality,normalized_points,energy,duration,acousticness,danceability,tempo,speechiness,key,liveness,time_signature,mode,loudness,valence,happiness,decade,is_winner,top_3,top_10
377,2009,Israel,Independent,Noa and Mira Awad,There Must Be Another Way,Female,Group,7,75,Away,Away,0,1.0,1,4.07358179545038,0.0646551724137931,0.794093269784657,179.87873,0.0687110324676364,0.604542010162488,105.972,0.024996099290271,8.0,0.084805072088256,4.0,1.0,-6.059,0.42620882292588,5.14188679245,2000,False,False,True
378,2009,Bulgaria,Former Socialist Bloc,Krassimir Avramov,Illusion,,,16,7,Away,Home,0,1.0,1,0.494988518308453,0.00603448275862069,0.856380655883921,168.60844,0.113433263926354,0.615340077226939,130.035,0.0399371537646059,6.0,0.7058636793908,4.0,1.0,-6.257,0.355898526300867,,2000,False,False,False
379,2009,Iceland,Scandinavia,Yohanna,Is It True?,Female,Solo,1,174,Away,Away,0,1.0,1,9.53856367333212,0.15,0.648462297911811,182.08762,0.120636218253755,0.26085611286083,83.978,0.0303115602272359,0.0,0.100348165255363,4.0,0.0,-8.122,0.263601828788288,5.21528301887,2000,True,True,True
380,2009,Macedonia,Former Yugoslavia,Next Time,Neshto shto ke ostane,,,10,45,Away,Away,0,1.0,0,2.23272234779284,0.0387931034482759,0.913788852129472,182.32272,0.0088934592239054,0.58884546676265,133.988,0.0429840649948339,11.0,0.308937410147084,4.0,1.0,-4.11,0.608338845597905,,2000,False,False,True
381,2009,Romania,Former Socialist Bloc,Elena,The Balkan Girls,Female,Solo,9,67,Away,Home,0,1.0,1,3.97552423447448,0.0577586206896552,0.919267642906087,179.97333,0.0206984420883738,0.696327172326798,130.089,0.034788704189782,5.0,0.051819569604596,4.0,1.0,-4.835,0.380539301729905,5.94048192771,2000,False,False,True
382,2009,Finland,Scandinavia,Waldo's People,Lose Control,Both,Group,12,42,Away,Away,0,1.0,1,2.51388884523494,0.0362068965517241,0.972366692466512,182.16599,0.0074204361923424,0.580143216573779,137.996,0.0627952513936392,7.0,0.169707518340445,4.0,1.0,-5.088,0.702104923938241,,2000,False,False,False
383,2009,Portugal,Western Europe,Flor-de-Lis,Todas as ruas do amor,Both,Group,8,70,Away,Away,0,1.0,0,4.0497726202888,0.0603448275862069,0.60622164022172,253.46567,0.266773885984264,0.575143883654989,96.966,0.042615815728949,7.0,0.113279984155113,4.0,1.0,-7.303,0.331690218298993,4.976,2000,False,False,True
384,2009,Malta,Western Europe,Chiara,What If We,Female,Solo,6,86,Away,Away,0,1.0,1,4.57216173782416,0.0741379310344828,0.378374420323919,181.80027,0.0480608382887424,0.528326096424245,123.937,0.0310549336421254,1.0,0.062293112701732,4.0,1.0,-8.226,0.478698632811048,5.48176470588,2000,False,False,True
385,2009,Bosnia and Herzegovina,Former Yugoslavia,Regina,Bistra voda,Male,Group,3,125,Away,Away,0,1.0,0,6.44938000989334,0.107758620689655,0.731082744924019,187.33823,0.504779183589222,0.547075542633362,75.976,0.0342888077458843,9.0,0.0960956823847908,4.0,1.0,-5.615,0.192152630982137,5.11545454545,2000,False,True,True
386,2009,Croatia,Former Yugoslavia,Igor Cukrov feat. Andrea,Lijepa Tena,Both,Group,13,33,Away,Away,0,2.0,0,1.26320229613925,0.0258620689655172,0.733959052674781,182.83057,0.323643438111558,0.590591968752472,116.107,0.0324064300848988,1.0,0.0793219638565446,4.0,0.0,-4.427,0.344540864461678,,2000,False,False,False
